Work,Alternative Work Names,Author(s),Alternative Author Names,xml filename,size (kbs),genre,transformed,note,GitHub link,GitHub link text,Website link,Website link text,Corroborated Work ID,Corroborated Author ID,Exact Matching Work Suggestions,Exact Matching Author Suggestions,Corroborated Inexact Work ID,Corroborated Inexact Author ID,,,,,Inexact Matching Work Suggestions,Inexact Matching Author Suggestions
Brahmapurāṇa,,Vyāsa,,brahmapurana,3668.1,Purāṇa,,,brahmapurana,https://github.com/sarit/SARIT-corpus/blob/master/brahmapurana.xml,brahmapurana,https://sarit.indology.info/brahmapurana.xml?view=div,95962,—,,"[('Vyāsa', '88000'), ('Vyāsa', '108876'), ('Vyāsa', '85147')]",,,,,,,"[('Brahmāṇḍapurāṇa', '97296', '89%'), ('Brahmapurana', '95962', '83%'), ('Padmapurāṇa', '42408', '78%')]",
Cakradatta,,Cakradatta,,cakradatta,1409.6,Medicine,,,cakradatta,https://github.com/sarit/SARIT-corpus/blob/master/cakradatta.xml,cakradatta,https://sarit.indology.info/cakradatta.xml?view=div,...,...,,,,,,,,,"[('Cārudatta', '97347', '74%'), ('Dharmatattva', '113708', '64%'), ('Jaradgava', '96001', '63%')]","[('Haradatta', '40787', '84%'), ('Haradatta', '110529', '84%'), ('Haradatta', '85380', '84%'), ('Cakrapāṇidatta', '40945', '83%'), ('Cakradhara', '85375', '80%')]"
Āyurvedadīpikā,,Cakrapāṇidatta,,cakrapanidatta-ayurvedadipika,6949.7,Medicine,,,cakrapanidatta-ayurvedadipika,https://github.com/sarit/SARIT-corpus/blob/master/cakrapanidatta-ayurvedadipika.xml,,,99168,40945,,,,,,,,,,
Carakasaṃhitā,,Caraka,Agniveśa,carakasamhita,3421.1,Medicine,,,carakasamhita,https://github.com/sarit/SARIT-corpus/blob/master/carakasamhita.xml,carakasamhita,https://sarit.indology.info/carakasamhita.xml?view=div,41458,44727,,,,,,,,,,
Caryāmelāpakapradīpa,,Āryadeva,,caryamelapakapradipa,931.4,Yoga,,,caryamelapakapradipa,https://github.com/sarit/SARIT-corpus/blob/master/caryamelapakapradipa.xml,caryamelapakapradipa,https://sarit.indology.info/caryamelapakapradipa.xml?view=div,...,85099,,"[('Āryadeva', '85099')]",,,,,,,"[('Tarkapradīpa', '91898', '69%'), ('Tarkapradīpa', '94628', '69%'), ('Tarkapradīpa', '95406', '69%'), ('Karmapradīpa', '95854', '69%'), ('Samayapradīpa', '91086', '61%')]",
Daśarūpaka,,Dhanañjaya,"Dhanika, Bhaṭṭanṛsiṃha",dasarupaka,1131.4,Dramaturgy,,"Dhanañjaya wrote base, sibling Dhanika wrote Āloka, Bhaṭṭanṛsiṃha wrote Laghuṭīkā; SARIT text contains all three",dasarupaka,https://github.com/sarit/SARIT-corpus/blob/master/dasarupaka.xml,dasarupaka,https://sarit.indology.info/dasarupaka.xml?view=div,96443,96442,"[('Daśarūpaka', '96443')]","[('Dhanika', '96440')]",,,,,,,,
Dharmottarapradīpa,,Durveka Miśra,"Durvekamiśra, Durveka",dharmottarapradipa,2037.3,Philosophy,y,also Nyāyabindu and Nyāyabinduṭīkā,dharmottarapradipa,https://github.com/sarit/SARIT-corpus/blob/master/dharmottarapradipa.xml,dharmottarapradipa,https://sarit.indology.info/dharmottarapradipa.xml?view=div,89186,85355,,"[('Durveka Miśra', '85355')]","[(""Dharmottarapradīpa on Dharmottara's Nyāyabinduṭīkā"", '89186', '90%')]","[('Durveka Miśra', '85355', '100%')]",,,,,,
Dharmottaraṭippanaka,,Mallavādin,,dharmottaratippanaka,688.9,Philosophy,,,dharmottaratippanaka,https://github.com/sarit/SARIT-corpus/blob/master/dharmottaratippanaka.xml,dharmottaratippanaka,https://sarit.indology.info/dharmottaratippanaka.xml?view=div,88895,85260,,"[('Mallavādin', '85260')]",,,,,,,"[('Dharmaratnākara', '89121', '63%'), ('Dharmapradīpakaraṇa', '106022', '46%'), ('Dharmaghaṭavrata', '110271', '39%')]",
Jīvanacaritra,,Dīkṣita,,diksita-jivanacaritra,62.7,Biography,,"not Sanskrit, ignore! (avadhi)",diksita-jivanacaritra,https://github.com/sarit/SARIT-corpus/blob/master/diksita-jivanacaritra.xml,,,,,,,,,,,,,"[('Jīvakacarita', '41349', '88%'), ('Nalacaritram', '96714', '72%'), ('Rūpasenacaritra', '41825', '71%')]","[('Dīkṣitalāla', '87240', '90%'), ('Nānā Dīkṣita', '85967', '74%'), ('Appā Dīkṣita', '86411', '74%')]"
Rāmasvamedhabhāṣa,,Dūdhadāsa,,dudhadasa-ramasvamedhabhasa,308.7,Drama,,"not Sanskrit, ignore! (braj)",dudhadasa-ramasvamedhabhasa,https://github.com/sarit/SARIT-corpus/blob/master/dudhadasa-ramasvamedhabhasa.xml,,,,,,,,,,,,,"[('Rājavallabha', '41900', '62%'), ('Rasodārabhāṇa', '41230', '60%')]","[('Dharmadāsa', '111663', '74%'), ('Devadāsa', '87216', '71%'), ('Dharaṇidāsa', '114149', '70%')]"
