Work,Alternative Work Names,Author(s),Alternative Author Names,xml filename,size (kbs),genre,transformed,note,GitHub link,GitHub link text,Website link,Website link text,Corroborated Work ID,Corroborated Author ID,Exact Matching Work Suggestions,Exact Matching Author Suggestions,Corroborated Inexact Work ID,Corroborated Inexact Author ID,,,,,Inexact Matching Work Suggestions,Inexact Matching Author Suggestions
Nyāyamañjarī,,Jayantabhaṭṭa,,nyayamanjari,6780.5,Philosophy,y,,nyayamanjari,https://github.com/sarit/SARIT-corpus/blob/master/nyayamanjari.xml,nyayamanjari,https://sarit.indology.info/nyayamanjari.xml?view=div,88926,85277,"[('Nyāyamañjarī', '88926'), ('Nyāyamañjarī', '88984'), ('Nyāyamañjarī', '94936')]",,"[('Nyāyamañjarī', '88926', '100%')]","[('Jayanta Bhaṭṭa', '85277', '89%')]",,,,,,
Nyāyasudhā,,Someśvara Bhaṭṭa,,nyayasudha,9598.2,Philosophy,y,,nyayasudha,https://github.com/sarit/SARIT-corpus/blob/master/nyayasudha.xml,,,89879,85542,"[('Nyāyasudhā', '90342'), ('Nyāyasudhā', '89690')]","[('Someśvara Bhaṭṭa', '108880'), ('Someśvara Bhaṭṭa', '85542')]",,,,,,,,
Nyāyasūtra-Tātparyaṭīkā,,Vācaspatimiśra,,nyayavarttikatatparyatika,3643.7,Philosophy,,,nyayavarttikatatparyatika,https://github.com/sarit/SARIT-corpus/blob/master/nyayavarttikatatparyatika.xml,nyayavarttikatatparyatika,https://sarit.indology.info/nyayavarttikatatparyatika.xml?view=div,89038,85319,,,"[('Nyāyavārttikatātparyaṭīkā', '89038', '75%')]","[('Vācaspati Miśra', '85319', '90%')]",,,,,,
Pātañjalayogaśāstra,,Patañjali,,patanjalayogasastra,202.6,Philosophy,y,"focus on ""Vyāsa"" Bhāṣya, but attribute to Patañjali",patanjalayogasastra,https://github.com/sarit/SARIT-corpus/blob/master/patanjalayogasastra.xml,patanjalayogasastra,https://sarit.indology.info/patanjalayogasastra.xml?view=div,88376,85108,,"[('Patañjali', '87602'), ('Patañjali', '40606'), ('Patañjali', '85108')]",,,,,,,"[('Pātañjalayogaśāstravivaraṇa', '88698', '90%'), ('Pātañjalacamatkāra', '94827', '70%'), ('Mahākālayogaśāstra', '108581', '70%')]",
Pramāṇamīmāṃsā-Vṛtti,,Hemacandra,,pramanamimamsa-and-vrtti,572.5,Philosophy,,,pramanamimamsa-and-vrtti,https://github.com/sarit/SARIT-corpus/blob/master/pramanamimamsa-and-vrtti.xml,pramanamimamsa-and-vrtti,https://sarit.indology.info/pramanamimamsa-and-vrtti.xml?view=div,89734,85489,,"[('Hemacandra', '85489'), ('Hemacandra', '86672')]","[('Pramāṇamīmāṃsā', '89734', '82%')]","[('Hemacandra', '85489', '100%')]",,,,,,
Pramāṇāntarbhāva,,,,pramanantarbhava,179.3,Philosophy,,not the same as any of the ones by known authors,pramanantarbhava,https://github.com/sarit/SARIT-corpus/blob/master/pramanantarbhava.xml,pramanantarbhava,https://sarit.indology.info/pramanantarbhava.xml?view=div,...,—,"[('Pramāṇāntarbhāva', '95798'), ('Pramāṇāntarbhāva', '95879')]",,,,,,,,,"[('Nārāyaṇa', '86182', '90%'), ('Nārāyaṇa', '41163', '90%'), ('Nārāyaṇa', '87548', '90%'), ('Nārāyaṇa', '87547', '90%'), ('Nārāyaṇa', '40744', '90%'), ('Nārāyaṇa', '112094', '90%'), ('Nārāyaṇa', '85695', '90%'), ('Nārāyaṇa', '40901', '90%'), ('Nārāyaṇa', '40763', '90%'), ('Raṅgācārya of Kauśikagotra', '87684', '90%'), ('Gadādhara Bhaṭṭācārya', '86189', '90%')]"
Pramāṇavārttikālaṅkāra,,Prajñākaragupta,,pramanavarttikalankarabhasya,4664.9,Philosophy,y,,pramanavarttikalankarabhasya,https://github.com/sarit/SARIT-corpus/blob/master/pramanavarttikalankarabhasya.xml,pramanavarttikalankarabhasya,https://sarit.indology.info/pramanavarttikalankarabhasya.xml?view=div,88859,85251,,"[('Prajñākaragupta', '85251')]",,,,,,,"[('Pramāṇavicāra', '94592', '69%'), ('Pramāṇavārttika and Bhasya', '88577', '67%'), ('Pramāṇaniṣkarṣa', '94478', '49%')]",
Pramāṇavārttika-Pariśiṣṭa,,Vibhūticandra,,pramanavarttikaparisista-1,116.6,Philosophy,,,pramanavarttikaparisista-1,https://github.com/sarit/SARIT-corpus/blob/master/pramanavarttikaparisista-1.xml,pramanavarttikaparisista-1,https://sarit.indology.info/pramanavarttikaparisista-1.xml?view=div,...,85524,,"[('Vibhūticandra', '85524')]",,,,,,,"[('Pramāṇavārttika and Bhasya', '88577', '67%'), ('Tattvārthapariśiṣṭa', '94329', '64%')]",
Pramāṇavārttikasvavṛtti-Ṭīkā,,Karṇakagomin,,pramanavarttikasvavrttitika,3460,Philosophy,y,,pramanavarttikasvavrttitika,https://github.com/sarit/SARIT-corpus/blob/master/pramanavarttikasvavrttitika.xml,pramanavarttikasvavrttitika,https://sarit.indology.info/pramanavarttikasvavrttitika.xml?view=div,...,...,,,,,,,,,"[('Pramāṇa(tarka)vihetanavṛtti', '88210', '62%')]","[('Candragomin', '109798', '70%')]"
Pramāṇavārttika-Vṛtti,,Manorathanandin,,pramanavarttikavrtti,2954.3,Philosophy,y,,pramanavarttikavrtti,https://github.com/sarit/SARIT-corpus/blob/master/pramanavarttikavrtti.xml,pramanavarttikavrtti,https://sarit.indology.info/pramanavarttikavrtti.xml?view=div,89013,85305,,"[('Manorathanandin', '85305')]",,,,,,,"[('Pramāṇavicāra', '94592', '65%'), ('Pramāṇavārttika and Bhasya', '88577', '64%'), ('Pramāṇasāra', '90537', '62%'), ('Pramāṇasāra', '92853', '62%')]",
Padārthadharmasaṅgraha,,Praśastapāda,,prasastapada-padarthadharmasangraha,286.3,Philosophy,y,,prasastapada-padarthadharmasangraha,https://github.com/sarit/SARIT-corpus/blob/master/prasastapada-padarthadharmasangraha.xml,prasastapada-padarthadharmasangraha,https://sarit.indology.info/prasastapada-padarthadharmasangraha.xml?view=div,88455,85164,,"[('Praśastapāda', '85164')]","[('Padārthadharmasaṃgraha', '88455', '95%')]","[('Praśastapāda', '85164', '100%')]",,,,,,
Rāvaṇavaho,Setubandha,Pravarasena,,pravarasena-setubandha,343.4,Kāvya,,,pravarasena-setubandha,https://github.com/sarit/SARIT-corpus/blob/master/pravarasena-setubandha.xml,pravarasena-setubandha,https://sarit.indology.info/pravarasena-setubandha.xml?view=div,109557,109556,"[('Setubandha', '109557')]",,,,,,,,"[('Rasārṇava', '41946', '63%'), ('Rāmāyaṇavidhi', '112086', '61%'), ('Ratnārṇava', '42509', '60%')]","[('Pravarasena II', '109556', '90%'), ('Īśvarasena', '85187', '76%'), ('Praśāstrasena', '87615', '75%')]"
Sarvārthasiddhi,,Pujyapāda,,pujyapada-sarvarthasiddhi,501,Philosophy,,,pujyapada-sarvarthasiddhi,https://github.com/sarit/SARIT-corpus/blob/master/pujyapada-sarvarthasiddhi.xml,,,88407,85152,"[('Sarvārthasiddhi', '88407'), ('Sarvārthasiddhi', '90690')]",,"[('Sarvārthasiddhi', '88407', '100%')]","[('Pūjyapāda', '85152', '89%')]",,,,,,
Rāgavinoda,,Pyārelāla,,pyarelala-ragabinoda,58.4,Music,,"not Sanskrit, ignore! (braj)",pyarelala-ragabinoda,https://github.com/sarit/SARIT-corpus/blob/master/pyarelala-ragabinoda.xml,,,,,,,,,,,,,"[('Rāmavinoda', '41394', '90%'), ('Rāmavinoda', '107108', '90%'), ('Rājavinoda', '114147', '90%'), ('Vādavinoda', '90545', '80%')]","[('Pyārelāla Ātmajā', '86614', '90%')]"
Rasārṇava,,,,rasarnava,525.4,Medicine,,"identification not 100%, edition doesn't mention attributed author ""Śambhu""",rasarnava,https://github.com/sarit/SARIT-corpus/blob/master/rasarnava.xml,,,41946,—,"[('Rasārṇava', '41946')]",,,,,,,,,"[('Nārāyaṇa', '86182', '90%'), ('Nārāyaṇa', '41163', '90%'), ('Nārāyaṇa', '87548', '90%'), ('Nārāyaṇa', '87547', '90%'), ('Nārāyaṇa', '40744', '90%'), ('Nārāyaṇa', '112094', '90%'), ('Nārāyaṇa', '85695', '90%'), ('Nārāyaṇa', '40901', '90%'), ('Nārāyaṇa', '40763', '90%'), ('Raṅgācārya of Kauśikagotra', '87684', '90%'), ('Gadādhara Bhaṭṭācārya', '86189', '90%')]"
Ratnakīrtinibandhāvali,,Ratnakīrti,"collection containing:
89349   sarvajñasiddhiḥ
41629   īśvarasādhanadūṣaṇam
89339   apohasiddhiḥ
89346   kṣaṇabhaṅgasiddhiḥ (anvayātmikā, vyatirekātmikā)
89347   pramāṇāntarbhāvaprakaraṇam
41630   vyāptinirṇayaḥ
89350   sthirasiddhidūṣaṇam
89342   citrādvaitaprakāśavādaḥ, citrādvaitasiddhi
89353   santānāntaradūṣaṇam",ratnakirti-nibandhavali,514.9,Philosophy,y,,ratnakirti-nibandhavali,https://github.com/sarit/SARIT-corpus/blob/master/ratnakirti-nibandhavali.xml,ratnakirti-nibandhavali,https://sarit.indology.info/ratnakirti-nibandhavali.xml?view=div,"89349
41629
89339
89346
89347
41630
89350
89342
89353",85386,,"[('Ratnakīrti', '85386')]",,,,,,,,
Kāvyādarśa,,Daṇḍin,Ratnaśrījñāna,ratnasritika-dn,1240.2,Alaṃkāraśāstra,,Kāvyalakṣaṇa of Daṇḍin (also known as Kāvyādarśa) with Commentary Called Ratnaśrī of Ratnaśrījñāna,ratnasritika-dn,https://github.com/sarit/SARIT-corpus/blob/master/ratnasritika-dn.xml,ratnasritika-dn,https://sarit.indology.info/ratnasritika-dn.xml?view=div,96586,96585,"[('Kāvyādarśa', '96586')]",,,,,,,,,"[('Ratnaśrījñāna', '41144', '70%')]"
Sāmānyadūṣaṇa,,Aśoka,,samanyadusana,33.3,philosophy,,,samanyadusana,https://github.com/sarit/SARIT-corpus/blob/master/samanyadusana.xml,samanyadusana,https://sarit.indology.info/samanyadusana.xml?view=div,89132,85342,,"[('Aśoka', '85342')]","[('Sāmānyadūṣaṇa(ādiprasārita)', '89132', '90%')]","[('Aśoka', '85342', '100%')]",,,,,,
Sarasvatīkaṇṭhābharaṇa,,Bhoja,Bhojadeva,sarasvatikanthabharana-dn,3130.3,Alaṃkāraśāstra,,Pandit has duplicated the work,sarasvatikanthabharana-dn,https://github.com/sarit/SARIT-corpus/blob/master/sarasvatikanthabharana-dn.xml,sarasvatikanthabharana-dn,https://sarit.indology.info/sarasvatikanthabharana-dn.xml?view=div,"96506, 96500",85382,"[('Sarasvatīkaṇṭhābharaṇa', '96506'), ('Sarasvatīkaṇṭhābharaṇa', '96500')]","[('Bhoja', '108652'), ('Bhoja', '40851')]",,,,,,,,
Sarvadarśanasaṅgraha,,Mādhavāchārya,Sāyana Mādhava,sarvadarsanasangraha,457.8,Philosophy,,,sarvadarsanasangraha,https://github.com/sarit/SARIT-corpus/blob/master/sarvadarsanasangraha.xml,,,103579,103578,,,,,,,,,"[('Sarvadarśanasaṃgraha', '90302', '95%'), ('Sarvadarśanasaṃgraha', '90404', '95%'), ('Sarvadarśanasaṁgraha', '103579', '95%'), ('Harivandanasaṅgraha', '42174', '82%')]","[('Mādhavācārya', '87469', '96%'), ('Mādhavārya', '41092', '87%'), ('Rāghavācārya', '86360', '80%')]"
Siddhayoga,,Vṛnda,Vṛnda Mādhava,siddhayoga,1092.4,Yoga,,,siddhayoga,https://github.com/sarit/SARIT-corpus/blob/master/siddhayoga.xml,siddhayoga,https://sarit.indology.info/siddhayoga.xml?view=div,41786,40809,"[('Siddhayoga', '41786')]",,,,,,,,,"[('Nārāyaṇa', '86182', '90%'), ('Nārāyaṇa', '41163', '90%'), ('Nārāyaṇa', '87548', '90%'), ('Nārāyaṇa', '87547', '90%'), ('Nārāyaṇa', '40744', '90%'), ('Nārāyaṇa', '112094', '90%'), ('Nārāyaṇa', '85695', '90%'), ('Nārāyaṇa', '40901', '90%'), ('Nārāyaṇa', '40763', '90%'), ('Raṅgācārya of Kauśikagotra', '87684', '90%'), ('Gadādhara Bhaṭṭācārya', '86189', '90%')]"
Siddhiviniścaya,,Akalaṅka,,siddhiviniscayatika,6538.6,Philosophy,,,siddhiviniscayatika,https://github.com/sarit/SARIT-corpus/blob/master/siddhiviniscayatika.xml,siddhiviniscayatika,https://sarit.indology.info/siddhiviniscayatika.xml?view=div,88827,85245,,,,,,,,,,
Skandapurāṇa,,,,skandapurana,1257.6,Purāṇa,,,skandapurana,https://github.com/sarit/SARIT-corpus/blob/master/skandapurana.xml,skandapurana,https://sarit.indology.info/skandapurana.xml?view=div,41990,—,"[('Skandapurāṇa', '41990')]",,,,,,,,,"[('Nārāyaṇa', '86182', '90%'), ('Nārāyaṇa', '41163', '90%'), ('Nārāyaṇa', '87548', '90%'), ('Nārāyaṇa', '87547', '90%'), ('Nārāyaṇa', '40744', '90%'), ('Nārāyaṇa', '112094', '90%'), ('Nārāyaṇa', '85695', '90%'), ('Nārāyaṇa', '40901', '90%'), ('Nārāyaṇa', '40763', '90%'), ('Raṅgācārya of Kauśikagotra', '87684', '90%'), ('Gadādhara Bhaṭṭācārya', '86189', '90%')]"
Saduktikarṇāmṛta,,Śrīdhara Dāsa,,sridharadasa-saduktikarnamrta,1426.1,Kāvya,,,sridharadasa-saduktikarnamrta,https://github.com/sarit/SARIT-corpus/blob/master/sridharadasa-saduktikarnamrta.xml,,,...,...,,,,,,,,,"[('Lakṣaṇāmṛta', '42290', '67%'), ('Abhinavakarṇāmṛta', '41226', '61%'), ('Sadyuktimuktāvalī', '91596', '55%')]","[('Giridhara Dāsa', '86765', '81%'), ('Giridhara Dāsa', '85780', '81%'), ('Śrīdhara', '85336', '76%'), ('Śrīdhara', '86770', '76%'), ('Śrīdhara', '87784', '76%'), ('Śrīdhara', '40993', '76%'), ('Śrīdhara Svāmin', '85686', '71%')]"
Suśrutasaṃhitā,,Suśruta,,susrutasamhita,2742.7,Medicine,,,susrutasamhita,https://github.com/sarit/SARIT-corpus/blob/master/susrutasamhita.xml,susrutasamhita,https://sarit.indology.info/susrutasamhita.xml?view=div,42004,96404,,,,,,,,,,
Tarkabhāṣa,,Mokṣākaragupta,,tarkabhasa,283.7,Philosophy,y,,tarkabhasa,https://github.com/sarit/SARIT-corpus/blob/master/tarkabhasa.xml,tarkabhasa,https://sarit.indology.info/tarkabhasa.xml?view=div,89427,85403,,"[('Mokṣākaragupta', '85403')]","[('Tarkabhāṣā', '89427', '90%')]","[('Mokṣākaragupta', '85403', '100%')]",,,,,,
Tarkarahasya,,,,tarkarahasya,482.7,Philosophy,,,tarkarahasya,https://github.com/sarit/SARIT-corpus/blob/master/tarkarahasya.xml,tarkarahasya,https://sarit.indology.info/tarkarahasya.xml?view=div,95897,—,"[('Tarkarahasya', '95897')]",,,,,,,,,"[('Nārāyaṇa', '86182', '90%'), ('Nārāyaṇa', '41163', '90%'), ('Nārāyaṇa', '87548', '90%'), ('Nārāyaṇa', '87547', '90%'), ('Nārāyaṇa', '40744', '90%'), ('Nārāyaṇa', '112094', '90%'), ('Nārāyaṇa', '85695', '90%'), ('Nārāyaṇa', '40901', '90%'), ('Nārāyaṇa', '40763', '90%'), ('Raṅgācārya of Kauśikagotra', '87684', '90%'), ('Gadādhara Bhaṭṭācārya', '86189', '90%')]"
Tattvasaṅgraha-Pañjikā,,Kamalaśīla,,tattvasangrahapanjika,5430.8,Philosophy,y,also Tattvasaṅgraha,tattvasangrahapanjika,https://github.com/sarit/SARIT-corpus/blob/master/tattvasangrahapanjika.xml,tattvasangrahapanjika,https://sarit.indology.info/tattvasangrahapanjika.xml?view=div,88846,85246,,"[('Kamalaśīla', '85246')]",,,,,,,"[('Tattvasaṃgraha', '88939', '72%'), ('Tattvasaṃgraha', '88737', '72%'), ('Tattvasaṃgraha', '90920', '72%'), ('Tattvasaṃgraha', '93851', '72%'), ('Tattvasaṃgraha', '93919', '72%'), ('Tattvasaṃgraha', '94806', '72%'), ('Tattvasaṃgraha', '94869', '72%'), ('Tattvasaṅkhyāna-ṭīkā-pañcikā', '95721', '68%'), ('Sarvasaṅgrahacikitsā', '104921', '67%')]",
Piyūṣalaharī,Gaṅgālaharī,Jagannātha Triśūli,Paṇḍita Jagannātha,trisuli-piyusalahari,52.4,Kāvya,,,trisuli-piyusalahari,https://github.com/sarit/SARIT-corpus/blob/master/trisuli-piyusalahari.xml,,,111006,40709,,,,,,,,,,
Nalacampū,,Trivikrama,,trivikrama-nalacampu,353.8,Campū,,,trivikrama-nalacampu,https://github.com/sarit/SARIT-corpus/blob/master/trivikrama-nalacampu.xml,,,...,...,,"[('Trivikrama', '85734')]",,,,,,,"[('Nalacaritram', '96714', '67%'), ('Śivavilāsa campū', '101409', '64%'), ('Coḷa campū', '101410', '63%')]",
Rāmāyaṇasāṭikā,,Tulasīdāsa,,tulasidasa-ramayanasatika,245.2,Epic,,"not Sanskrit, ignore! (braj)",tulasidasa-ramayanasatika,https://github.com/sarit/SARIT-corpus/blob/master/tulasidasa-ramayanasatika.xml,,,,,,"[('Tulasīdāsa', '87868')]",,,,,,,"[('Rāmāyaṇa', '96104', '73%'), ('Rāmāyaṇavidhi', '112086', '67%'), ('Rāmāyaṇa Ādi Kāṇḍa', '111272', '56%')]",
Kalyāṇakāraka,,Ugrāditya,,ugraditya-kalyanakaraka,1469.1,Medicine,,,ugraditya-kalyanakaraka,https://github.com/sarit/SARIT-corpus/blob/master/ugraditya-kalyanakaraka.xml,ugraditya-kalyanakaraka,https://sarit.indology.info/ugraditya-kalyanakaraka.xml?view=div,41930,40846,,,,,,,,,,
Yogasūtra-Tattvavaiśāradī,,Vācaspatimiśra,,vacaspati-tattvavaisaradi,402.8,Philosophy,y,,vacaspati-tattvavaisaradi,https://github.com/sarit/SARIT-corpus/blob/master/vacaspati-tattvavaisaradi.xml,vacaspati-tattvavaisaradi,https://sarit.indology.info/vacaspati-tattvavaisaradi.xml?view=div,89042,85319,,,"[('Tattvavaiśāradī', '89042', '75%')]","[('Vācaspati Miśra', '85319', '90%')]",,,,,,
Vādanyāyaṭīkā Vipañcitārthā,,Śāntarakṣita,,vadanyayatika,807.5,Philosophy,y,,vadanyayatika,https://github.com/sarit/SARIT-corpus/blob/master/vadanyayatika.xml,vadanyayatika,https://sarit.indology.info/vadanyayatika.xml?view=div,88739,85229,,"[('Śāntarakṣita', '85229')]",,,,,,,,
Vādasthānāni,,Jitāri,,vadasthana,47.4,Philosophy,,,vadasthana,https://github.com/sarit/SARIT-corpus/blob/master/vadasthana.xml,vadasthana,https://sarit.indology.info/vadasthana.xml?view=div,89110,85335,,"[('Jitāri', '85335')]","[('Vādasthāna', '89110', '82%')]","[('Jitāri', '85335', '100%')]",,,,,,
Rasaratnasamuccaya,,Vāgbhaṭa,,vagbhata-rasaratnasamuccaya-comms,1039,Medicine,,with selections of Bodhinī and Ṭīkā commentaries,vagbhata-rasaratnasamuccaya-comms,https://github.com/sarit/SARIT-corpus/blob/master/vagbhata-rasaratnasamuccaya-comms.xml,vagbhata-rasaratnasamuccaya-comms,https://sarit.indology.info/vagbhata-rasaratnasamuccaya-comms.xml?view=div,41893,40839,,,,,,,,,,
Nyāyabhāṣya,,Vātsyāyana,,vatsyayana-nyayabhasya,565.6,Philosophy,y,,vatsyayana-nyayabhasya,https://github.com/sarit/SARIT-corpus/blob/master/vatsyayana-nyayabhasya.xml,vatsyayana-nyayabhasya,https://sarit.indology.info/vatsyayana-nyayabhasya.xml?view=div,88353,85140,"[('Nyāyabhāṣya', '88353')]","[('Vātsyāyana', '40641')]",,,,,,,,
Vidhiviveka-Nyāyakaṇikā,,Maṇḍana Miśra,Vācaspati Miśra,vidhiviveka-and-nyayakanika,2130.8,Philosophy,y,maṇḍanamiśra_vidhiviveka + vācaspati miśra's nyāyakaṇikā,vidhiviveka-and-nyayakanika,https://github.com/sarit/SARIT-corpus/blob/master/vidhiviveka-and-nyayakanika.xml,vidhiviveka-and-nyayakanika,https://sarit.indology.info/vidhiviveka-and-nyayakanika.xml?view=div,88615,85210,,,,,,,,,"[('Vidhiviveka', '88615', '65%'), ('Vidhiviveka', '92532', '65%')]","[('Vācaspati Miśra', '85720', '90%'), ('Vācaspati Miśra', '85319', '90%'), ('Vācaspati Miśra', '112629', '90%'), ('Vācaspati', '40957', '78%'), ('Vanamālimiśra', '86270', '59%')]"
Mitākṣarā,,Vijñāneśvara,,vijnanesvara-mitaksara,1801.9,Dharmaśāstra,,,vijnanesvara-mitaksara,https://github.com/sarit/SARIT-corpus/blob/master/vijnanesvara-mitaksara.xml,,,95746,110025,,,,,,,,,,
Yogapradīpa,,,,yogapradipa,49.1,Yoga,,,yogapradipa,https://github.com/sarit/SARIT-corpus/blob/master/yogapradipa.xml,,,...,—,,,,,,,,,"[('Yogadīpa', '89591', '84%'), ('Yogapradīpikā', '95067', '83%'), ('Aghapradīpa', '41714', '82%')]","[('Nārāyaṇa', '86182', '90%'), ('Nārāyaṇa', '41163', '90%'), ('Nārāyaṇa', '87548', '90%'), ('Nārāyaṇa', '87547', '90%'), ('Nārāyaṇa', '40744', '90%'), ('Nārāyaṇa', '112094', '90%'), ('Nārāyaṇa', '85695', '90%'), ('Nārāyaṇa', '40901', '90%'), ('Nārāyaṇa', '40763', '90%'), ('Raṅgācārya of Kauśikagotra', '87684', '90%'), ('Gadādhara Bhaṭṭācārya', '86189', '90%')]"
