"BN_GRETIL
displayName","BN cat.
(key)",GRETIL Path,GRETIL fn,GRETIL link,GRETIL link text,filesize (KB),partial,extract,"alt.
vers.","niche 
doc",note,Work,Alternative Work Names,Author(s),Alternative Author Names,Work ID,Author ID,,,Inexact Matching Work Suggestions,Inexact Matching Author Suggestions,Corroborated Inexact Work ID,Corroborated Inexact Author ID,Corroborated Work ID,Corroborated Author ID,Exact Matching Work Suggestions,Exact Matching Author Suggestions
"Viṃśatikā vijñaptimātratāsiddhi [Viṃśatikākārikā, Viṃśikāvṛtti]]",T06,6_sastra/3_phil/buddh,vasvvmsu,vasvvmsu,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/vasvvmsu.htm,17.4,,,,,,Triṃśikāvijñaptikārikā,Triṃśikākārikā,Vasubandhu,,88257,85127,,,,,,,,,,"[('Vasubandhu', '85127')]"
Trisvabhāvanirdeśa,T06,6_sastra/3_phil/buddh,bsa019_u,bsa019_u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa019_u.htm,4.7,,,,,,Trisvabhāvanirdeśa,,Vasubandhu,,88258,85127,,,,,,,88258,85127,,
Viṃśikāvṛtti [Viṃśatikākārikā],T06,6_sastra/3_phil/buddh,bsa022_u,bsa022_u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa022_u.htm,2.8,,,,,,Viṃśatikā vijñaptimātratāsiddhi,Viṃśikāvṛtti kārikā,Vasubandhu,,88262,85127,,,"[('Vijñaptimātratāsiddhi', '88502', '81%'), ('Viśiṣṭādvaitasiddhi', '94483', '48%')]",,,,,,,
Viṃśatikākārikā [Viṃśikāvṛtti],T06,6_sastra/3_phil/buddh,bsa023_u,bsa023_u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa023_u.htm,2.6,,,,,,Viṃśatikākārikā,,Vasubandhu,,88262,85127,,,"[('Viṃśatikā', '112925', '75%'), ('Viṃśatikāśāstra', '94411', '73%'), ('Vistārikā', '110391', '67%')]",,,,,,,"[('Vasubandhu', '85127')]"
Tarkaśāstra,T11,6_sastra/3_phil/buddh,bsa069_u,bsa069_u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa069_u.htm,56.6,,,,,,Tarkaśāstra,,,,88341,—,,,,,,,,,"[('Tarkaśāstra', '88341'), ('Tarkaśāstra', '94771')]",
Gautama: Nyayasutra,GSP29,6_sastra/3_phil/nyaya,nysvbh1u,nysvbh1u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/nyaya/nysvbh1u.htm,382.7,,,y,,with Bhāṣya,Nyāyabhāṣya,,Vātsyāyana,,88353,85140,,,,,,,,,"[('Nyāyabhāṣya', '88353')]","[('Vātsyāyana', '40641')]"
Bhartrhari: Vakyapadiya,GS24,6_sastra/1_gram,vakyp1pu,vakyp1pu,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/1_gram/vakyp1pu.htm,255.1,,,,,,Vākyapadīya,,Bhartṛhari,,88354,40446,,,,,,,88354,40446,,
"Bhartrhari: Vakyapadiya 1–3,7",GS24,6_sastra/1_gram,vakyp_pu,vakyp_pu,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/1_gram/vakyp_pu.htm,133.7,y,,y,,different edition,Vākyapadīya 1.1–3.7,,Bhartṛhari,,88354,40446,,,,,"[('Vākyapadīya', '88354', '73%')]","[('Bhartṛhari', '40446', '100%')]",,,,"[('Bhartṛhari', '40446')]"
Ratnagotravibhāga,T06,6_sastra/3_phil/buddh,bsa073_u,bsa073_u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa073_u.htm,153.2,,,,,"verses are part of pañcaskandhaka by Asaṅga, prose Vyākhyā by Sāramati according to Chinese tradition",Ratnagotravibhāga,Ratnagotravibhāgottaratantra,Sāramati,,88356,85142,,,,"[('Saramati', '85142', '88%'), ('Sthiramati', '85177', '78%'), ('Śākyamati', '85217', '71%')]",,,,,"[('Ratnagotravibhāga', '96105')]",
Bhavasaṃkrāntiparikathā,T10,6_sastra/3_phil/buddh,bsa067_u,bsa067_u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa067_u.htm,2.1,,,,,,Bhavasaṃkrāntiparikathā,,,,...,—,,,,,"[('Bhavasamkrāntiśāstra', '88361', '65%')]","[('Nāgārjuna', '85145', '100%')]",,,,"[('Nāgārjuna', '87521'), ('Nāgārjuna', '85145'), ('Nāgārjuna', '85231'), ('Nāgārjuna', '85097'), ('Nāgārjuna', '85117'), ('Nāgārjuna', '85124'), ('Nāgārjuna', '85122'), ('Nāgārjuna', '87520'), ('Nāgārjuna', '85134')]"
Pratītyasamutpādahṛdayavyākhyāna,T04,6_sastra/3_phil/buddh,bsa013_u,bsa013_u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa013_u.htm,6.1,,,,,,Pratītyasamutpādahṛdayavyākhyāna,,Śuddhamati,,88371,85146,,,,,,,,,,"[('Nāgārjuna', '87521'), ('Nāgārjuna', '85145'), ('Nāgārjuna', '85231'), ('Nāgārjuna', '85097'), ('Nāgārjuna', '85117'), ('Nāgārjuna', '85124'), ('Nāgārjuna', '85122'), ('Nāgārjuna', '87520'), ('Nāgārjuna', '85134')]"
Pratītyasamutpādādivibhaṅganirdeśa sūtra,K10,4_rellit/buddh,bsu027_u,bsu027_u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu027_u.htm,4.8,,,,,,Pratītyasamutpādādivibhaṅganirdeśasūtra,,,,88373,—,,,,,,,,,"[('Pratītyasamutpādādivibhaṅganirdeśasūtra', '88373')]",
Patanjali: Yogasutra,GSP34,6_sastra/3_phil/yoga,patyogbu,patyogbu,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/yoga/patyogbu.htm,139.7,,,,,Philipp's,Yogasūtrabhāṣya,,Vyāsa,,88376,85147,,,,,"[('Yogasūtra', '88183', '75%')]","[('Patañjali', '85108', '100%')]",,,,"[('Patañjali', '87602'), ('Patañjali', '40606'), ('Patañjali', '85108')]"
Ālambanaparīkṣāvṛtti,T11,6_sastra/3_phil/buddh,bsa002_u,bsa002_u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa002_u.htm,3.9,,,,,,Ālambanaparīkṣāvṛtti,,Dignāga,Diṅnāga,88418,85154,,,,,"[('Ālambanaparīkṣā and Vṛtti thereon', '88418', '72%')]","[('Dignāga', '85154', '100%')]",,,,"[('Dignāga', '85154')]"
Prajñāpāramitāpiṇḍārtha,T03,6_sastra/3_phil/buddh,bsa011_u,bsa011_u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa011_u.htm,7.1,,,,,,Prajñāpāramitāpiṇḍārtha,,Dignāga,Diṅnāga,88422,85154,,,,,"[('Prajñāpāramitāpiṇḍārtha(saṃgraha)', '88422', '90%')]","[('Dignāga', '85154', '100%')]",,,,"[('Dignāga', '85154')]"
Navaślokī,T03,4_rellit/buddh,knavslou,knavslou,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/knavslou.htm,1.9,,,,,,Navaślokī,Piṇḍārtha,Kambala,Kambalapāda,88451,85163,,,"[('Śataślokī', '113220', '78%'), ('Śataślokī', '88681', '78%'), ('Śataślokī', '41310', '78%'), ('Śataślokī', '42185', '78%'), ('Śataślokī', '89536', '78%'), ('Śataślokī', '95027', '78%'), ('Daśaślokī', '88645', '78%'), ('Daśaślokī', '88744', '78%'), ('Daśaślokī', '93892', '78%'), ('Saptaślokī', '91947', '74%'), ('Saptaślokī', '113009', '74%')]","[('Kambala', '85163', '78%'), ('Padmapāda', '85227', '70%'), ('Kamalābha', '86107', '60%')]",,,,,,
Prasastapada: Padarthadharmasamgraha,GSP32,6_sastra/3_phil/vaisesik,paddhs_u,paddhs_u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vaisesik/paddhs_u.htm,84.9,,,,,,Padārthadharmasaṃgraha,,Praśastapāda,,88455,85164,,,,,,,88455,85164,,
Triṃśikāvijñaptikārikā Triṃśikāvijñaptibhāṣya [Triṃśikābhāṣya],T06,6_sastra/3_phil/buddh,sthtvbhu,sthtvbhu,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/sthtvbhu.htm,71.9,,,,,,Triṃśikāvijñaptibhāṣya,Triṃśikābhāṣya,Sthiramati,,88515,85177,,,,,,,,,,"[('Sthiramati', '85177')]"
Sphuṭārthā Abhidharmakośavyākhyā,T07,6_sastra/3_phil/buddh,yabhkvyu,yabhkvyu,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/yabhkvyu.htm,1840.1,,,,,,Sphuṭārthā Abhidharmakośavyākhyā,,Yaśomitra,,88531,85184,,,,,"[(""Sphuṭārthavyākhyā on Vasubandhu's Abhidharmakośa"", '88531', '62%')]","[('Yaśomitra', '85184', '100%')]",,,,"[('Yaśomitra', '85184')]"
Gaudapada: Agamasastra,GSP33,6_sastra/3_phil/vedanta,gaukarpu,gaukarpu,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/gaukarpu.htm,27.8,,,,,,Māṇḍūkyakārikā,"Āgamaśāstra, Gauḍapādakārikā, Māṇḍūkyopaniṣadkārikā",Gauḍapāda,,88543,85189,,,"[('Āgamaśāstravivaraṇa', '97438', '90%'), ('Ramalaśāstra', '107259', '78%'), ('Dharmaśāstra', '95981', '78%')]",,,,,,,"[('Gauḍapāda', '85194'), ('Gauḍapāda', '85189')]"
Gaudapada: Mandukya-Upanisadkarika,GV05,1_veda/4_upa,gmandk_u,gmandk_u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/4_upa/gmandk_u.htm,27.2,,,,,,Māṇḍūkyakārikā,"Āgamaśāstra, Gauḍapādakārikā, Māṇḍūkyopaniṣadkārikā",Gauḍapāda,,88543,85189,,,,,"[('Māṇḍūkyakārikās', '88543', '78%')]","[('Gauḍapāda', '85189', '100%')]",,,,"[('Gauḍapāda', '85194'), ('Gauḍapāda', '85189')]"
Madhyamakāvatāra,T04,6_sastra/3_phil/buddh,bsa053_u,bsa053_u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa053_u.htm,65.8,,,,,,Madhyamakāvatāra,,Candrakīrti,,88548,85193,,,,,"[('Madhyamakāvatāra and Bhāṣya', '88548', '90%')]","[('Candrakīrti', '85193', '100%')]",,,,"[('Candrakīrti', '85193'), ('Candrakīrti', '87178')]"
Prasannapadā,T04,6_sastra/3_phil/buddh,canprasu,canprasu,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/canprasu.htm,591.6,,,,,,Prasannapadā,Madhyamakaśāstravṛtti,Candrakīrti,,88550,85193,,,,,,,,,"[('Prasannapadā', '94022')]","[('Candrakīrti', '85193'), ('Candrakīrti', '87178')]"
Pāramitāsamāsa,T03,6_sastra/3_phil/buddh,bsa050_u,bsa050_u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa050_u.htm,56.5,,,,,,Pāramitāsamāsa,,Āryaśūra,,88559,85195,,,,,,,88559,85195,,
Devatā sūtra,K10,4_rellit/buddh,dvtasutu,dvtasutu,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/dvtasutu.htm,5.1,,,,,,Devatāsūtra,,,,88565,—,,,,,,,,,"[('Devatāsūtra', '88565')]",
Hetubindu,T11,6_sastra/3_phil/buddh,bsa071_u,bsa071_u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa071_u.htm,48.7,,,,,,Hetubindu,,Dharmakīrti,,88574,85198,,,,,,,88574,85198,,
Hetubindu,T11,6_sastra/3_phil/buddh,dhkhetuu,dhkhetuu,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/dhkhetuu.htm,55.9,,,,,,Hetubindu,,Dharmakīrti,,88574,85198,,,,,,,88574,85198,,
Nyāyabindu Prakaraṇakārikā,T11,6_sastra/3_phil/buddh,bsa057_u,bsa057_u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa057_u.htm,19.4,,,,,,Nyāyabindu Prakaraṇakārikā,,Dharmakīrti,,88576,85198,,,"[('Nyāyaratnaprakaraṇa', '94878', '62%')]",,,,,,,"[('Dharmakīrti', '85198')]"
Nyāyabindu Prakaraṇa,T11,6_sastra/3_phil/buddh,dhnyabpu,dhnyabpu,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/dhnyabpu.htm,338.7,,,,,,Nyāyabinduprakaraṇa,,Dharmakīrti,,88576,85198,,,"[('Nyāyaratnaprakaraṇa', '94878', '79%'), ('Vākyaprakaraṇa', '94769', '73%'), ('Advaitabindu(prakaraṇa)', '89193', '71%')]",,,,,,,"[('Dharmakīrti', '85198')]"
Nyāyabindu,T11,6_sastra/3_phil/buddh,dhknyayu,dhknyayu,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/dhknyayu.htm,22.4,,,,,,Nyāyabindu,,Dharmakīrti,,88576,85198,,,,,,,88576,85198,,
Pramāṇavārttikakārikā,T11,6_sastra/3_phil/buddh,dhkprvku,dhkprvku,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/dhkprvku.htm,140.4,,,,,,Pramāṇavārttikakārikā,,Dharmakīrti,,88577,85198,,,"[('Pramāṇādiprakāśikā', '92584', '72%'), ('Brahmavādakārikā', '100315', '70%'), ('Pramāṇacandrikā', '92622', '67%')]",,,,,,,"[('Dharmakīrti', '85198')]"
Pramāṇavārttika,T11,6_sastra/3_phil/buddh,pramanvu,pramanvu,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/pramanvu.htm,189.3,,,,,,Pramāṇavārttika,,Dharmakīrti,,88577,85198,,,,,"[('Pramāṇavārttika and Bhasya', '88577', '90%')]","[('Dharmakīrti', '85198', '100%')]",,,,"[('Dharmakīrti', '85198')]"
Pramāṇavārttikavṛtti,T11,6_sastra/3_phil/buddh,dhkpvsvu,dhkpvsvu,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/dhkpvsvu.htm,327.1,,,,,,Pramāṇavārttikavṛtti,Pramāṇavārttikasvavṛtti,Dharmakīrti,,88577,85198,,,,,"[('Pramāṇavārttika and Bhasya', '88577', '65%')]","[('Dharmakīrti', '85198', '100%')]",,,,"[('Dharmakīrti', '85198')]"
Pramāṇaviniścaya,T11,6_sastra/3_phil/buddh,dhkprviu,dhkprviu,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/dhkprviu.htm,1.9,,,,,,Pramāṇaviniścaya,,Dharmakīrti,,88578,85198,,,,,,,88578,85198,,
Sambandhaparīkṣā,T11,6_sastra/3_phil/buddh,bsa063_u,bsa063_u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa063_u.htm,10.8,,,,,,Sambandhaparīkṣā,,Dharmakīrti,,88579,85198,,,,,"[('Sambandhaparīkṣā and Vṛtti thereon', '88579', '90%')]","[('Dharmakīrti', '85198', '100%')]",,,,"[('Dharmakīrti', '85198')]"
Sambandhaparīkṣā,T11,6_sastra/3_phil/buddh,dhksparu,dhksparu,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/dhksparu.htm,5.5,,,,,,Sambandhaparīkṣā,,Dharmakīrti,,88579,85198,,,,,"[('Sambandhaparīkṣā and Vṛtti thereon', '88579', '90%')]","[('Dharmakīrti', '85198', '100%')]",,,,"[('Dharmakīrti', '85198')]"
Santānāntarasiddhi,T11,6_sastra/3_phil/buddh,bsa059_u,bsa059_u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa059_u.htm,9.6,,,,,,Santānāntarasiddhi,,Dharmakīrti,,88580,85198,,,,,"[('Saṃtānāntarasiddhi', '88580', '94%')]","[('Dharmakīrti', '85198', '100%')]",,,,"[('Dharmakīrti', '85198')]"
Vādanyāya,T11,6_sastra/3_phil/buddh,bsa064_u,bsa064_u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa064_u.htm,80.5,,,,,,Vādanyāya,,Dharmakīrti,,88581,85198,,,,,,,88581,85198,,
Vādanyāya,T11,6_sastra/3_phil/buddh,dhkvadnu,dhkvadnu,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/dhkvadnu.htm,90.7,,,,,,Vādanyāya,,Dharmakīrti,,88581,85198,,,,,,,88581,85198,,
Āryānityatā sūtra,K10,4_rellit/buddh,bsu001_u,bsu001_u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu001_u.htm,4.3,,,,,,Anityatāsūtra,Āryānityatāsūtra,,,88583,—,,,"[('Nyāyasūtra', '88091', '69%'), ('Āmnāyasūtra', '94196', '67%')]",,,,,,"[('Anityatāsūtra', '88583')]",
Anityatā sūtra,K10,4_rellit/buddh,anitysuu,anitysuu,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/anitysuu.htm,4.8,,,,,,Anityatāsūtra,Āryānityatāsūtra,,,88583,—,,,,,,,,,"[('Anityatāsūtra', '88583')]",
Jayarasi: Tattvopaplavasimha,GS26,6_sastra/3_phil,jaytuppu,jaytuppu,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/jaytuppu.htm,111.5,,,,,,Tattvopaplavasiṃha,,Jayarāśi,,88590,85201,,,,,,,88590,85201,,
Kumarila Bhatta: Mimamsaslokavarttika,GSP28,6_sastra/3_phil/mimamsa,mimslovu,mimslovu,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/mimamsa/mimslovu.htm,420.5,,,,,,Ślokavārttika,Mīmāṃsāślokavārttika,Kumārila Bhaṭṭa,"Kumārilabhaṭṭa, Bhaṭṭa Kumārila",88597,85206,,,,"[('Murāri Bhaṭṭa', '86122', '79%'), ('Pāla Bhaṭṭa', '87591', '77%'), ('Gopāla Bhaṭṭa', '86151', '71%')]",,,,,"[('Ślokavārttika', '88597')]",
Yuktidipika,GSP31,6_sastra/3_phil/samkhya,yuktdipu,yuktdipu,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/samkhya/yuktdipu.htm,444.7,,,,,,Yuktidīpikā,,,,88604,—,,,"[(""Yuktidīpikā on Īśvarakṛṣṇa's Sāṃkhyakārikās"", '88604', '90%'), ('Vṛttidīpikā', '93033', '73%'), ('Śuddhidīpikā', '107408', '70%')]",,,,,,,
Bodhicaryāvatāra [Bodhisattvacaryāvatāra],T04,6_sastra/3_phil/buddh,bsa003_u,bsa003_u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa003_u.htm,118.2,,,,,,Bodhicaryāvatāra,Bodhisattvacaryāvatāra,Śāntideva,,88605,85209,,,,,,,,,"[('Bodhicaryāvatāra', '113821')]","[('Śāntideva', '85209')]"
Bodhicaryāvatāra [Bodhisattvacaryāvatāra],T04,6_sastra/3_phil/buddh,santbcpu,santbcpu,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/santbcpu.htm,117.3,,,,,,Bodhicaryāvatāra,Bodhisattvacaryāvatāra,Śāntideva,,88605,85209,,,,,,,,,"[('Bodhicaryāvatāra', '113821')]","[('Śāntideva', '85209')]"
Śikṣāsamuccaya VIII. papasodhana,T04,6_sastra/3_phil/buddh,sanss08u,sanss08u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/sanss08u.htm,33.1,,,,,,Śikṣāsamuccaya VIII. papasodhana,,Śāntideva,,88609,85209,,,"[('Śikṣāsamuccaya', '88609', '61%')]","[('Nārāyaṇa', '86182', '90%'), ('Nārāyaṇa', '41163', '90%'), ('Nārāyaṇa', '87548', '90%'), ('Nārāyaṇa', '87547', '90%'), ('Nārāyaṇa', '40744', '90%'), ('Nārāyaṇa', '112094', '90%'), ('Nārāyaṇa', '85695', '90%'), ('Nārāyaṇa', '40901', '90%'), ('Nārāyaṇa', '40763', '90%'), ('Raṅgācārya of Kauśikagotra', '87684', '90%'), ('Gadādhara Bhaṭṭācārya', '86189', '90%')]",,,,,,
Śikṣāsamuccaya X. viryaparamita,T04,6_sastra/3_phil/buddh,sanss10u,sanss10u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/sanss10u.htm,6.6,,,,,,Śikṣāsamuccaya X. viryaparamita,,Śāntideva,,88609,85209,,,"[('Śikṣāsamuccaya', '88609', '62%'), ('Śikṣāsamuccayābhisamaya', '89127', '59%')]","[('Nārāyaṇa', '86182', '90%'), ('Nārāyaṇa', '41163', '90%'), ('Nārāyaṇa', '87548', '90%'), ('Nārāyaṇa', '87547', '90%'), ('Nārāyaṇa', '40744', '90%'), ('Nārāyaṇa', '112094', '90%'), ('Nārāyaṇa', '85695', '90%'), ('Nārāyaṇa', '40901', '90%'), ('Nārāyaṇa', '40763', '90%'), ('Raṅgācārya of Kauśikagotra', '87684', '90%'), ('Gadādhara Bhaṭṭācārya', '86189', '90%')]",,,,,,
Śikṣāsamuccaya XIX. punyavrddhi,T04,6_sastra/3_phil/buddh,sanss19u,sanss19u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/sanss19u.htm,24.7,,,,,,Śikṣāsamuccaya XIX. punyavrddhi,,Śāntideva,,88609,85209,,,"[('Śikṣāsamuccaya', '88609', '62%')]","[('Nārāyaṇa', '86182', '90%'), ('Nārāyaṇa', '41163', '90%'), ('Nārāyaṇa', '87548', '90%'), ('Nārāyaṇa', '87547', '90%'), ('Nārāyaṇa', '40744', '90%'), ('Nārāyaṇa', '112094', '90%'), ('Nārāyaṇa', '85695', '90%'), ('Nārāyaṇa', '40901', '90%'), ('Nārāyaṇa', '40763', '90%'), ('Raṅgācārya of Kauśikagotra', '87684', '90%'), ('Gadādhara Bhaṭṭācārya', '86189', '90%')]",,,,,,
Śikṣāsamuccaya I. danaparamita,T04,6_sastra/3_phil/buddh,sanss01u,sanss01u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/sanss01u.htm,64,,,,,,Śikṣāsamuccaya I. danaparamita,,Śāntideva,,88609,85209,,,"[('Śikṣāsamuccaya', '88609', '64%'), ('Śikṣāsamuccayābhisamaya', '89127', '60%')]","[('Nārāyaṇa', '86182', '90%'), ('Nārāyaṇa', '41163', '90%'), ('Nārāyaṇa', '87548', '90%'), ('Nārāyaṇa', '87547', '90%'), ('Nārāyaṇa', '40744', '90%'), ('Nārāyaṇa', '112094', '90%'), ('Nārāyaṇa', '85695', '90%'), ('Nārāyaṇa', '40901', '90%'), ('Nārāyaṇa', '40763', '90%'), ('Raṅgācārya of Kauśikagotra', '87684', '90%'), ('Gadādhara Bhaṭṭācārya', '86189', '90%')]",,,,,,
Śikṣāsamuccayakārikā,T04,6_sastra/3_phil/buddh,bsa014_u,bsa014_u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa014_u.htm,3.3,,,,,,Śikṣāsamuccayakārikā,,,,88609,—,,,"[('Śikṣāsamuccaya', '88609', '82%'), ('Śikṣāsamuccayābhisamaya', '89127', '65%'), ('Śrutisārasamuccaya', '95070', '63%')]",,,,,,,
Śikṣāsamuccaya V. anarthavivarjana,T04,6_sastra/3_phil/buddh,sanss05u,sanss05u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/sanss05u.htm,25.9,,,,,,Śikṣāsamuccaya V. anarthavivarjana,,Śāntideva,,88609,85209,,,"[('Śikṣāsamuccayābhisamaya', '89127', '56%')]","[('Nārāyaṇa', '86182', '90%'), ('Nārāyaṇa', '41163', '90%'), ('Nārāyaṇa', '87548', '90%'), ('Nārāyaṇa', '87547', '90%'), ('Nārāyaṇa', '40744', '90%'), ('Nārāyaṇa', '112094', '90%'), ('Nārāyaṇa', '85695', '90%'), ('Nārāyaṇa', '40901', '90%'), ('Nārāyaṇa', '40763', '90%'), ('Raṅgācārya of Kauśikagotra', '87684', '90%'), ('Gadādhara Bhaṭṭācārya', '86189', '90%')]",,,,,,
Śikṣāsamuccaya II. saddharmaparigraha,T04,6_sastra/3_phil/buddh,sanss02u,sanss02u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/sanss02u.htm,16.7,,,,,,Śikṣāsamuccaya II. saddharmaparigraha,,Śāntideva,,88609,85209,,,"[('Śikṣāsamuccayābhisamaya', '89127', '60%')]","[('Nārāyaṇa', '86182', '90%'), ('Nārāyaṇa', '41163', '90%'), ('Nārāyaṇa', '87548', '90%'), ('Nārāyaṇa', '87547', '90%'), ('Nārāyaṇa', '40744', '90%'), ('Nārāyaṇa', '112094', '90%'), ('Nārāyaṇa', '85695', '90%'), ('Nārāyaṇa', '40901', '90%'), ('Nārāyaṇa', '40763', '90%'), ('Raṅgācārya of Kauśikagotra', '87684', '90%'), ('Gadādhara Bhaṭṭācārya', '86189', '90%')]",,,,,,
Śikṣāsamuccaya IX. ksantiparamita,T04,6_sastra/3_phil/buddh,sanss09u,sanss09u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/sanss09u.htm,16.2,,,,,,Śikṣāsamuccaya IX. ksantiparamita,,Śāntideva,,88609,85209,,,"[('Śikṣāsamuccayābhisamaya', '89127', '61%')]","[('Nārāyaṇa', '86182', '90%'), ('Nārāyaṇa', '41163', '90%'), ('Nārāyaṇa', '87548', '90%'), ('Nārāyaṇa', '87547', '90%'), ('Nārāyaṇa', '40744', '90%'), ('Nārāyaṇa', '112094', '90%'), ('Nārāyaṇa', '85695', '90%'), ('Nārāyaṇa', '40901', '90%'), ('Nārāyaṇa', '40763', '90%'), ('Raṅgācārya of Kauśikagotra', '87684', '90%'), ('Gadādhara Bhaṭṭācārya', '86189', '90%')]",,,,,,
Śikṣāsamuccaya VI. atmabhavaraksa,T04,6_sastra/3_phil/buddh,sanss06u,sanss06u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/sanss06u.htm,39.5,,,,,,Śikṣāsamuccaya VI. atmabhavaraksa,,Śāntideva,,88609,85209,,,"[('Śikṣāsamuccayābhisamaya', '89127', '61%')]","[('Nārāyaṇa', '86182', '90%'), ('Nārāyaṇa', '41163', '90%'), ('Nārāyaṇa', '87548', '90%'), ('Nārāyaṇa', '87547', '90%'), ('Nārāyaṇa', '40744', '90%'), ('Nārāyaṇa', '112094', '90%'), ('Nārāyaṇa', '85695', '90%'), ('Nārāyaṇa', '40901', '90%'), ('Nārāyaṇa', '40763', '90%'), ('Raṅgācārya of Kauśikagotra', '87684', '90%'), ('Gadādhara Bhaṭṭācārya', '86189', '90%')]",,,,,,
